ID,Phase,Initial Column,Priority,Title,Dependencies,Primary Role,Target Week
F0-01,F0 — Existing Product Foundation,Done,P0,Production-shaped React/TypeScript application foundation,None,Existing repository,Complete
F0-02,F0 — Existing Product Foundation,Done,P0,Three distinct decision workspaces,None,Existing repository,Complete
F0-03,F0 — Existing Product Foundation,Done,P0,"Ohio ZCTA, region, county, and ZIP drill-down",None,Existing repository,Complete
F0-04,F0 — Existing Product Foundation,Done,P0,"Static deployment, CI, releases, and offline package",None,Existing repository,Complete
F0-05,F0 — Existing Product Foundation,Done,P1,Responsive map-first desktop and mobile shell,None,Existing repository,Complete
F0-06,F0 — Existing Product Foundation,Done,P0,Deterministic synthetic opportunity and scenario engine,None,Existing repository,Complete
F0-07,F0 — Existing Product Foundation,Done,P1,"CHIP guided-tour, mobile, and GET/KEEP/GROW patterns",None,Existing reference repository,Complete
F0-08,F0 — Existing Product Foundation,Done,P0,Synthetic-data and client/internal trust boundaries,None,Existing repository,Complete
P0-01,"P0 — Project Reset, Scope, and Governance",Ready,P0,Create the fall project source-of-truth files,None,Developer / Data Scientist,Week 1
P0-02,"P0 — Project Reset, Scope, and Governance",Ready,P0,Create and configure the GitHub Project board,P0-01,Product Owner / Developer,Week 1
P0-03,"P0 — Project Reset, Scope, and Governance",Ready,P0,Reconcile stale repository documentation,P0-01,Developer / Data Scientist,Week 1
P0-04,"P0 — Project Reset, Scope, and Governance",Ready,P0,Create a protected fall-methodology development baseline,None,Repository Admin / Developer,Week 1
P0-05,"P0 — Project Reset, Scope, and Governance",Ready,P0,"Define measurable growth, retention, contactability, and validation success criteria",P0-01,Product Owner / Business Sponsor,Week 1
P0-06,"P0 — Project Reset, Scope, and Governance",Ready,P0,"Freeze Charlotte pilot, comparison market, target verticals, and validation outcomes",P0-05,Product Owner / Sales & Research SME,Week 1
P0-07,"P0 — Project Reset, Scope, and Governance",Blocked / External Input,P0,Obtain stakeholder approval for data use and decision claims,"P0-05, P0-06",Business Sponsor / Data Owner / Compliance,Week 1–2
